sentence_id	sentence	locale	reason
78d312ad40c943723ac7dec1eba5d86c7e14e8b77d1425a5f1e708fde4f8ef0b	მუჟამსით ეკონიას დოწყარჷ პეული დო დუდშა მუნუფორაფუდუკონ ოკონ თეშ, თოლშა ჩილამურეფქ ქოუცუ.	xmf	grammar-or-spelling
a479e2220ccd6fe9a67ab5645fe54ea21327b138e405406ba42d0404f6e9a04b	მა სი მიოქ მანგარშე მანგარო	xmf	grammar-or-spelling
a479e2220ccd6fe9a67ab5645fe54ea21327b138e405406ba42d0404f6e9a04b	მა სი მიოქ მანგარშე მანგარო	xmf	grammar-or-spelling
a479e2220ccd6fe9a67ab5645fe54ea21327b138e405406ba42d0404f6e9a04b	მა სი მიოქ მანგარშე მანგარო	xmf	grammar-or-spelling
038273f620a996e4ea4f9c1be21f429719866ad775499d50c7cfc5e5ac1b8c69	თაშნეშე, ეძვილაფირქ იპი, შხვა პროფესია გეგშამგორუდუკონ დო მაფურინჯეშ ხელუა ქოდიბგურე.	xmf	different-language
1ce0e54a158285275c7955bd56334236db9c6b9681b9cf13ce455694d7925a1f	უღვენობა დო ჭკორალა, ათენა რე ჩქინ რინაშ დუდი დო დათებუ.	xmf	grammar-or-spelling
497715e5899c9ad678bd72bc1822bddea1458825b1df9b3f71c055681519d4d9	ართო მიშესჷნი, შარას ქეწობხვადეს ბრელი გერენქ.	xmf	grammar-or-spelling
f0549d0363e7cbd092a9469f671dc3ece31f0e95f50ef2670964c4595dbf061f	ხანდათ ოჭიში მეხარცქილი აფუდესინ, თი ზარხულს იშენდოიშენ ვა გაუფურაშებე ორინჯეფიშ რინა.	xmf	grammar-or-spelling
1601a8541af2e4fd318d0f6fbfcaf3b02c3300a246cdcfc456a0efc32cbd238b	ეჸ, თაქ მელა რენია სოდგარენ ოზესიავა-დო ეშე გემწოსოფჷ.	xmf	grammar-or-spelling
7e5c8152883c6f5aca010e1e05758596ce935bc7d862d99666d87aac4ae93d5b	გეჭოფუნსუ ლაკვატასჷ, ოჸოთანსჷ დო ჩიტეფცჷ დუსუ სოფუნსუ.	xmf	different-language
b735d952c3320221e3b1ee42ba4c6a1d509c189983dc78a4151441cf003f8642	მუდგა ირფელიშ უმოსო ვაგოხუჯუნანიავან, თინა ოქიმინალ ვეჸინია.	xmf	grammar-or-spelling
e61c0039836c538f18eb1d4b8b2a5dc957cc44d911df9bb9ce53cb04c1a538ea	გერედუნ თექ ქოგიჸინჷ, აჸონებულ დო აბორჯებულქ.	xmf	different-language
02ad44b1d6f8eaf557598253210ad4b324f49c864011cbc5a6e7bf0da5c5cb2c	ჸვანეფშა ტყას მუნულუაფუდჷ.	xmf	offensive-language
02ad44b1d6f8eaf557598253210ad4b324f49c864011cbc5a6e7bf0da5c5cb2c	ჸვანეფშა ტყას მუნულუაფუდჷ.	xmf	different-language
23c90bd41cdcd8e49abb568e14bf7c582e64c4ce7400269479af0e7750f53c0e	გიჯინ იშო-აშო თე წყარიპიცჷ, ქოძირჷ წყარცჷ ქჷგოძჷ ჩხომი.	xmf	different-language
372170a1465b4bda43348075bb917a9354f7cefee18b13f4e0ad5dfb7f7e038d	საუბედუროთ, წავაგი ჩხუბი, ჯარი გომიჭყვიდეს დო თეშ გინმართ საქმექ, ცხენს მათრახი გივაშქვი დო იპრტი.	xmf	grammar-or-spelling
713a498a032c35c3b01e89f1f4ac666693c7023fde69cd5b2fe603a793ea94bf	ბოშის პასუხიქ ვემიაჩინჷ, რადგან თიში სიტყვა ვაუჩქუდ.	xmf	grammar-or-spelling
818f3e6bf3a7e5886aaf7bd573d3527cf4e28fc469b2b2e7ac4bca6e603fade3	ართშა, მუშ ოთხკაკალია ძიგირშენ იჩიებუდუნ თეშ, მაფასქირს უწუ.	xmf	grammar-or-spelling
ad77944a7a52c2facf38c9e145e53c89b0c2f275e269cbecaf0e7f646d4ffcef	ფშხირას ართი როხქუაშ ეშაზინდუას თელი დღა მეუღუდჷ.	xmf	difficult-pronounce
ee5587d0c7b4c12ee1e88641eb112719685707129ed5ebd44a356df544c6b1a1	მა ქიანაშის ფიფრქენდი ჯუნგლეფიშ ბანძღით ეფშა რინაშენ დო ფერამ ფანქარით სურათი დოფხანტი.	xmf	grammar-or-spelling
