clip	duration[ms]
common_voice_xmf_42583068.mp3	6444
common_voice_xmf_42691067.mp3	9108
common_voice_xmf_42583416.mp3	10188
common_voice_xmf_42377774.mp3	3780
common_voice_xmf_42432011.mp3	6516
common_voice_xmf_42450768.mp3	6300
common_voice_xmf_42087711.mp3	5400
common_voice_xmf_42635448.mp3	7056
common_voice_xmf_42405745.mp3	6948
common_voice_xmf_42344001.mp3	7956
common_voice_xmf_43100386.mp3	7200
common_voice_xmf_42073944.mp3	4788
common_voice_xmf_42539155.mp3	5148
common_voice_xmf_45939368.mp3	6408
common_voice_xmf_42400598.mp3	5760
common_voice_xmf_42243264.mp3	10368
common_voice_xmf_42691041.mp3	4716
common_voice_xmf_42463046.mp3	6156
common_voice_xmf_42386131.mp3	3960
common_voice_xmf_42697272.mp3	6624
common_voice_xmf_42386797.mp3	2880
common_voice_xmf_41964977.mp3	5868
common_voice_xmf_42448990.mp3	4860
common_voice_xmf_41993780.mp3	5148
common_voice_xmf_42067634.mp3	4428
common_voice_xmf_42243290.mp3	2916
common_voice_xmf_42393805.mp3	5256
common_voice_xmf_42061845.mp3	6660
common_voice_xmf_42377130.mp3	3996
common_voice_xmf_42405849.mp3	6516
common_voice_xmf_42605469.mp3	4860
common_voice_xmf_42087941.mp3	7776
common_voice_xmf_42087738.mp3	6048
common_voice_xmf_42462488.mp3	4680
common_voice_xmf_42386310.mp3	9216
common_voice_xmf_42603155.mp3	6516
common_voice_xmf_42663309.mp3	8100
common_voice_xmf_42243193.mp3	10548
common_voice_xmf_42104238.mp3	6840
common_voice_xmf_42459650.mp3	5508
common_voice_xmf_42690932.mp3	9108
common_voice_xmf_42998364.mp3	6300
common_voice_xmf_42448441.mp3	6768
common_voice_xmf_43147412.mp3	7740
common_voice_xmf_42463042.mp3	4500
common_voice_xmf_42137633.mp3	6048
common_voice_xmf_42014000.mp3	6588
common_voice_xmf_42386124.mp3	8496
common_voice_xmf_42439492.mp3	6336
common_voice_xmf_42432600.mp3	5328
common_voice_xmf_42385167.mp3	3888
common_voice_xmf_42605459.mp3	4680
common_voice_xmf_42137292.mp3	5328
common_voice_xmf_42377094.mp3	4968
common_voice_xmf_42416375.mp3	6480
common_voice_xmf_42351536.mp3	6156
common_voice_xmf_42691096.mp3	9000
common_voice_xmf_42087747.mp3	6336
common_voice_xmf_42073899.mp3	7128
common_voice_xmf_42435889.mp3	6588
common_voice_xmf_42380470.mp3	8028
common_voice_xmf_43127508.mp3	9108
common_voice_xmf_42136953.mp3	5076
common_voice_xmf_42344067.mp3	5328
common_voice_xmf_43012697.mp3	5796
common_voice_xmf_42439533.mp3	4356
common_voice_xmf_42463054.mp3	6156
common_voice_xmf_42691554.mp3	8928
common_voice_xmf_42400511.mp3	3600
common_voice_xmf_42605454.mp3	4716
common_voice_xmf_42998592.mp3	5688
common_voice_xmf_42400704.mp3	4716
common_voice_xmf_42459671.mp3	5328
common_voice_xmf_43308305.mp3	9468
common_voice_xmf_42905725.mp3	8208
common_voice_xmf_42435726.mp3	8460
common_voice_xmf_42385220.mp3	3888
common_voice_xmf_42030594.mp3	6840
common_voice_xmf_42400970.mp3	8028
common_voice_xmf_42522602.mp3	5796
common_voice_xmf_42450818.mp3	3240
common_voice_xmf_42398027.mp3	7596
common_voice_xmf_42444722.mp3	5508
common_voice_xmf_43308353.mp3	5400
common_voice_xmf_42659555.mp3	5148
common_voice_xmf_42482382.mp3	4320
common_voice_xmf_41993776.mp3	5400
common_voice_xmf_42343377.mp3	4680
common_voice_xmf_42369573.mp3	6120
common_voice_xmf_42400777.mp3	6048
common_voice_xmf_42478118.mp3	8676
common_voice_xmf_42386861.mp3	5328
common_voice_xmf_42604980.mp3	4860
common_voice_xmf_42603032.mp3	6480
common_voice_xmf_42393570.mp3	5688
common_voice_xmf_42539404.mp3	6228
common_voice_xmf_42432548.mp3	5040
common_voice_xmf_42562345.mp3	4428
common_voice_xmf_42386219.mp3	4176
common_voice_xmf_43206426.mp3	4644
common_voice_xmf_42351638.mp3	5760
common_voice_xmf_42376289.mp3	4608
common_voice_xmf_42380471.mp3	5760
common_voice_xmf_42027144.mp3	6228
common_voice_xmf_42449144.mp3	5976
common_voice_xmf_42448403.mp3	8208
common_voice_xmf_43147635.mp3	10260
common_voice_xmf_42424074.mp3	5328
common_voice_xmf_42551136.mp3	4320
common_voice_xmf_42401046.mp3	5436
common_voice_xmf_41993745.mp3	7380
common_voice_xmf_42690775.mp3	5328
common_voice_xmf_42401686.mp3	9468
common_voice_xmf_43159967.mp3	4860
common_voice_xmf_42363620.mp3	6516
common_voice_xmf_42457235.mp3	4860
common_voice_xmf_42087854.mp3	8748
common_voice_xmf_42457197.mp3	5400
common_voice_xmf_42392529.mp3	4428
common_voice_xmf_42697292.mp3	6048
common_voice_xmf_43147383.mp3	6480
common_voice_xmf_42073949.mp3	6768
common_voice_xmf_43058498.mp3	10548
common_voice_xmf_42066876.mp3	5868
common_voice_xmf_42367743.mp3	5796
common_voice_xmf_42171727.mp3	6300
common_voice_xmf_42432010.mp3	4284
common_voice_xmf_43127218.mp3	5688
common_voice_xmf_42397663.mp3	4536
common_voice_xmf_42406031.mp3	2808
common_voice_xmf_42452011.mp3	3888
common_voice_xmf_42690897.mp3	4176
common_voice_xmf_42014376.mp3	5436
common_voice_xmf_42393568.mp3	6336
common_voice_xmf_42367668.mp3	5436
common_voice_xmf_42659309.mp3	4248
common_voice_xmf_42663114.mp3	7596
common_voice_xmf_42343282.mp3	3888
common_voice_xmf_42457418.mp3	9180
common_voice_xmf_42604989.mp3	4500
common_voice_xmf_43228632.mp3	4608
